Phylum,Subphylum,Assembly
Ascomycota,Pezizomycotina,GCF_010724455.1
Ascomycota,Pezizomycotina,GCA_000812125.1
Ascomycota,Pezizomycotina,GCA_014281905.1
Ascomycota,Pezizomycotina,GCA_012184565.1
Ascomycota,Pezizomycotina,GCA_000986645.1
Ascomycota,Pezizomycotina,GCA_963379335.1
Ascomycota,Pezizomycotina,GCA_003850985.1
Ascomycota,Pezizomycotina,GCA_002846915.2
Ascomycota,Pezizomycotina,GCF_002846915.1
Ascomycota,Pezizomycotina,GCA_001890725.1
Ascomycota,Pezizomycotina,GCF_001890725.1
Ascomycota,Pezizomycotina,GCA_000600275.1
Ascomycota,Pezizomycotina,GCF_000600275.1
Ascomycota,Pezizomycotina,GCA_016097275.1
Ascomycota,Pezizomycotina,GCA_002847485.1
Ascomycota,Pezizomycotina,GCF_002847485.1
Ascomycota,Pezizomycotina,GCA_025765985.1
Ascomycota,Pezizomycotina,GCA_021437015.1
Ascomycota,Pezizomycotina,GCA_037044115.1
Ascomycota,Pezizomycotina,GCA_021436995.1
Ascomycota,Pezizomycotina,GCA_023624915.1
Ascomycota,Pezizomycotina,GCA_037043975.1
Ascomycota,Pezizomycotina,GCA_027569155.1
Ascomycota,Pezizomycotina,GCA_016162245.1
Ascomycota,Pezizomycotina,GCA_023619815.1
Ascomycota,Pezizomycotina,GCA_002847045.1
Ascomycota,Pezizomycotina,GCF_002847045.1
Ascomycota,Pezizomycotina,GCA_003184585.1
Ascomycota,Pezizomycotina,GCF_003184585.1
Ascomycota,Pezizomycotina,GCA_025688815.1
Ascomycota,Pezizomycotina,GCA_002234965.2
Ascomycota,Pezizomycotina,GCA_002237265.2
Ascomycota,Pezizomycotina,GCF_002237265.1
Ascomycota,Pezizomycotina,GCA_025592935.1
Ascomycota,Pezizomycotina,GCA_009193465.1
Ascomycota,Pezizomycotina,GCA_003344505.1
Ascomycota,Pezizomycotina,GCA_003184705.1
Ascomycota,Pezizomycotina,GCA_019976455.1
Ascomycota,Pezizomycotina,GCA_019176375.1
Ascomycota,Pezizomycotina,GCA_026119255.1
Ascomycota,Pezizomycotina,GCA_019721355.1
Ascomycota,Pezizomycotina,GCA_019176365.1
Ascomycota,Pezizomycotina,GCA_023619755.1
Ascomycota,Pezizomycotina,GCA_023619605.1
Ascomycota,Pezizomycotina,GCA_019775315.1
Ascomycota,Pezizomycotina,GCA_037044295.1
Ascomycota,Pezizomycotina,GCA_023625295.1
Ascomycota,Pezizomycotina,GCA_023619645.1
Ascomycota,Pezizomycotina,GCA_032158085.1
Ascomycota,Pezizomycotina,GCA_023619555.1
Ascomycota,Pezizomycotina,GCA_023619495.1
Ascomycota,Pezizomycotina,GCA_023619735.1
Ascomycota,Pezizomycotina,GCA_023625235.1
Ascomycota,Pezizomycotina,GCA_023625255.1
Ascomycota,Pezizomycotina,GCA_023625215.1
Ascomycota,Pezizomycotina,GCA_023618995.1
Ascomycota,Pezizomycotina,GCA_023619445.1
Ascomycota,Pezizomycotina,GCA_023625055.1
Ascomycota,Pezizomycotina,GCA_023627675.1
Ascomycota,Pezizomycotina,GCA_023619285.1
Ascomycota,Pezizomycotina,GCA_023619545.1
Ascomycota,Pezizomycotina,GCA_023619615.1
Ascomycota,Pezizomycotina,GCA_025768905.1
Ascomycota,Pezizomycotina,GCA_023619455.1
Ascomycota,Pezizomycotina,GCA_016880755.1
Ascomycota,Pezizomycotina,GCA_023618935.1
Ascomycota,Pezizomycotina,GCA_023625075.1
Ascomycota,Pezizomycotina,GCA_023618985.1
